FY,DP2,F30,F31,F32,I01,K01,K22,K24,K25,K99,M01,N01,P01,P20,P41,P50,R00,R01,R03,R13,R15,R21,R25,R29,R35,R37,R43,R56,RF1,S06,SC2,U01,U54,Z01,ZIA,ZIC
2000,0,0,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,29,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,3,0,0,1,0,0,0,1,0,2,0,0,5,0,34,1,0,1,2,0,1,0,1,0,0,0,0,0,10,2,2,0,0
2002,0,0,0,5,0,0,2,0,0,0,0,0,3,1,0,5,0,36,2,0,0,3,1,0,0,1,0,0,0,2,0,10,2,3,0,0
2003,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,41,0,0,0,1,0,0,0,1,0,0,0,0,0,10,0,4,0,0
2004,0,0,1,5,0,0,1,0,1,0,0,0,2,1,0,2,0,38,0,0,1,0,0,0,0,2,0,0,0,0,0,10,1,3,0,0
2005,0,0,1,5,0,0,0,0,1,0,0,0,3,1,0,3,0,40,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,3,0,0
2006,0,0,2,7,0,0,0,0,1,0,0,0,2,1,0,1,0,44,1,1,1,1,0,0,0,1,0,0,0,0,0,2,1,2,0,0
2007,0,0,2,7,0,0,0,0,1,1,0,0,3,0,0,1,0,37,1,1,1,1,0,0,0,3,0,0,0,0,0,2,1,5,0,0
2008,0,0,2,6,0,0,0,0,1,2,0,0,3,0,0,1,0,41,2,1,0,3,0,0,0,4,0,1,0,0,0,2,0,7,0,0
2009,0,0,1,7,0,0,0,0,0,1,0,0,5,0,1,0,2,52,3,0,2,5,0,0,0,4,0,1,0,0,0,1,0,0,3,0
2010,1,0,2,4,0,0,0,0,0,2,0,0,2,0,1,0,4,47,2,0,0,2,0,0,0,4,1,0,0,0,0,2,0,0,6,1
2011,0,1,1,4,0,1,0,0,0,3,0,0,1,0,2,2,6,43,1,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,10,0
2012,0,1,4,6,0,1,0,0,0,1,0,1,1,0,0,2,5,40,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0
2013,0,1,5,8,0,1,0,0,0,1,0,0,0,0,0,3,3,38,0,0,0,3,0,0,0,2,0,1,0,0,0,1,0,0,6,0
2014,1,1,2,11,1,1,0,0,0,2,0,0,0,0,0,3,2,43,1,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,3,0
2015,1,0,3,9,1,1,0,0,0,1,0,0,0,0,0,2,1,37,1,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,3,0
2016,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,1,3,0,0,4,1,0,2,0,0,0,0,0,0,6,0
2017,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,3,38,0,1,1,2,0,0,3,2,0,1,1,0,1,1,1,0,0,0
